"ProcessName","StartTime"
"Acrobat","30-05-2025 09:02:00"
"Acrobat","30-05-2025 09:02:00"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:05"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AcroCEF","30-05-2025 09:02:02"
"AdobeCollabSync","24-05-2025 14:34:54"
"AdobeCollabSync","24-05-2025 14:34:55"
"ApplicationFrameHost","24-05-2025 14:24:09"
"chrome","26-05-2025 10:00:20"
"chrome","30-05-2025 09:38:16"
"chrome","30-05-2025 09:38:15"
"chrome","26-05-2025 10:00:24"
"chrome","26-05-2025 10:00:21"
"chrome","26-05-2025 10:00:21"
"chrome","26-05-2025 10:00:21"
"chrome","26-05-2025 10:00:19"
"chrome","26-05-2025 10:00:25"
"chrome","26-05-2025 10:00:21"
"cloudmeteringhost","30-05-2025 10:55:54"
"cloudmeteringhost","30-05-2025 10:55:41"
"cmd","30-05-2025 10:55:54"
"cmd","30-05-2025 10:55:41"
"Code","30-05-2025 09:07:07"
"Code","30-05-2025 09:07:07"
"Code","30-05-2025 09:16:53"
"Code","30-05-2025 09:07:09"
"Code","30-05-2025 09:07:05"
"Code","30-05-2025 09:07:08"
"Code","30-05-2025 09:07:03"
"Code","30-05-2025 09:07:05"
"Code","30-05-2025 09:07:04"
"Code","30-05-2025 09:07:05"
"Code","30-05-2025 09:07:07"
"conhost","29-05-2025 16:50:59"
"conhost","29-05-2025 16:50:59"
"conhost","29-05-2025 16:50:59"
"conhost","29-05-2025 16:51:00"
"conhost","29-05-2025 16:50:59"
"conhost","29-05-2025 16:50:59"
"conhost","30-05-2025 10:45:56"
"conhost","30-05-2025 09:07:09"
"conhost","30-05-2025 10:55:41"
"conhost","30-05-2025 09:16:51"
"conhost","30-05-2025 10:55:54"
"conhost","30-05-2025 09:16:51"
"CsSystemTray_7.24.19607.0","30-05-2025 10:10:33"
"ctfmon","24-05-2025 14:23:02"
"Dia Notifications","24-05-2025 14:33:23"
"dllhost","24-05-2025 14:22:58"
"dllhost","24-05-2025 14:49:55"
"dllhost","24-05-2025 14:22:51"
"dptf_helper","24-05-2025 14:22:50"
"explorer","24-05-2025 14:22:54"
"igfxEMN","24-05-2025 14:22:54"
"infoblox_rc_control_application","24-05-2025 14:34:06"
"LockApp","30-05-2025 09:16:35"
"Microsoft.AAD.BrokerPlugin","26-05-2025 09:05:57"
"Microsoft.SharePoint","29-05-2025 12:57:31"
"MoNotificationUx","30-05-2025 09:15:45"
"msedge","30-05-2025 10:11:38"
"msedge","30-05-2025 10:10:41"
"msedge","30-05-2025 09:07:00"
"msedge","30-05-2025 10:10:46"
"msedge","30-05-2025 09:07:00"
"msedge","30-05-2025 10:35:44"
"msedge","30-05-2025 09:07:04"
"msedge","30-05-2025 10:11:33"
"msedge","30-05-2025 09:07:43"
"msedge","30-05-2025 10:35:42"
"msedge","29-05-2025 19:27:29"
"msedge","30-05-2025 10:14:07"
"msedge","30-05-2025 10:06:16"
"msedge","29-05-2025 19:27:29"
"msedge","30-05-2025 09:07:27"
"msedge","29-05-2025 19:27:29"
"msedge","29-05-2025 19:27:29"
"msedge","30-05-2025 09:08:36"
"msedge","29-05-2025 19:27:29"
"msedge","30-05-2025 10:35:44"
"msedge","30-05-2025 10:10:46"
"msedge","30-05-2025 10:35:41"
