"ProcessName","StartTime"
"ApplicationFrameHost","04-06-2025 09:25:04"
"backgroundTaskHost","04-06-2025 09:25:35"
"cloudmeteringhost","04-06-2025 09:42:57"
"cmd","04-06-2025 09:42:56"
"Code","04-06-2025 09:41:20"
"Code","04-06-2025 09:41:22"
"Code","04-06-2025 09:41:21"
"Code","04-06-2025 09:41:22"
"Code","04-06-2025 09:41:20"
"Code","04-06-2025 09:41:20"
"Code","04-06-2025 09:41:24"
"Code","04-06-2025 09:41:16"
"Code","04-06-2025 09:41:22"
"conhost","04-06-2025 09:41:25"
"conhost","04-06-2025 09:22:03"
"conhost","04-06-2025 09:22:03"
"conhost","04-06-2025 09:22:03"
"conhost","04-06-2025 09:22:03"
"conhost","04-06-2025 09:22:03"
"conhost","04-06-2025 09:42:56"
"conhost","04-06-2025 09:22:03"
"CsSystemTray_7.24.19607.0","04-06-2025 09:21:50"
"ctfmon","04-06-2025 09:21:34"
"Dia Notifications","04-06-2025 09:22:33"
"dllhost","04-06-2025 09:21:34"
"dllhost","04-06-2025 09:22:12"
"dptf_helper","04-06-2025 09:21:28"
"explorer","04-06-2025 09:21:29"
"igfxEMN","04-06-2025 09:21:28"
"infoblox_rc_control_application","04-06-2025 09:22:41"
"LockApp","04-06-2025 09:41:10"
"msedge","04-06-2025 09:21:53"
"msedge","04-06-2025 09:21:53"
"msedge","04-06-2025 09:21:53"
"msedge","04-06-2025 09:21:53"
"msedge","04-06-2025 09:21:53"
"msedge","04-06-2025 09:21:53"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:22:29"
"msedgewebview2","04-06-2025 09:21:46"
"msedgewebview2","04-06-2025 09:22:37"
"msedgewebview2","04-06-2025 09:22:29"
"msedgewebview2","04-06-2025 09:22:37"
"msedgewebview2","04-06-2025 09:22:09"
"msedgewebview2","04-06-2025 09:22:09"
"msedgewebview2","04-06-2025 09:22:30"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:22:30"
"msedgewebview2","04-06-2025 09:22:08"
"msedgewebview2","04-06-2025 09:22:19"
"msedgewebview2","04-06-2025 09:22:37"
"msedgewebview2","04-06-2025 09:22:09"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:22:30"
"msedgewebview2","04-06-2025 09:22:09"
"msedgewebview2","04-06-2025 09:22:37"
"msedgewebview2","04-06-2025 09:22:37"
"msedgewebview2","04-06-2025 09:22:08"
"msedgewebview2","04-06-2025 09:21:47"
"msedgewebview2","04-06-2025 09:22:30"
"msedgewebview2","04-06-2025 09:22:37"
"ms-teams","04-06-2025 09:22:15"
"ms-teams","04-06-2025 09:22:07"
"OneDrive","04-06-2025 09:21:56"
"PhoneExperienceHost","04-06-2025 09:25:37"
"powershell","04-06-2025 09:41:25"
"RtkAudUService64","04-06-2025 09:21:45"
"RuntimeBroker","04-06-2025 09:22:08"
"RuntimeBroker","04-06-2025 09:41:11"
"RuntimeBroker","04-06-2025 09:22:29"
"RuntimeBroker","04-06-2025 09:21:32"
"RuntimeBroker","04-06-2025 09:21:32"
"SearchHost","04-06-2025 09:21:32"
"SecurityHealthSystray","04-06-2025 09:21:40"
"ShellHost","04-06-2025 09:21:29"
"sihost","04-06-2025 09:21:28"
"smartscreen","04-06-2025 09:41:16"
"StartMenuExperienceHost","04-06-2025 09:21:32"
"svchost","04-06-2025 09:21:28"
"svchost","04-06-2025 09:21:28"
"svchost","04-06-2025 09:41:12"
"svchost","04-06-2025 09:23:29"
"svchost","04-06-2025 09:21:29"
"svchost","04-06-2025 09:21:32"
"svchost","04-06-2025 09:21:31"
"SystemSettings","04-06-2025 09:25:04"
"taskhostw","04-06-2025 09:21:29"
"taskhostw","04-06-2025 09:21:30"
"TextInputHost","04-06-2025 09:21:42"
"TSVNCache","04-06-2025 09:21:32"
"unsecapp","04-06-2025 09:21:46"
"UserOOBEBroker","04-06-2025 09:41:18"
"vf_host","04-06-2025 09:21:50"
"WavesSvc64","04-06-2025 09:21:45"
"WebViewHost","04-06-2025 09:22:29"
"Widgets","04-06-2025 09:21:32"
"WidgetService","04-06-2025 09:22:36"
"WindowsPackageManagerServer","04-06-2025 09:25:37"
"wweb32","04-06-2025 09:22:35"
"ZDPApp","04-06-2025 09:21:46"
"ZDPClassifier","04-06-2025 09:22:03"
"ZDPClassifier","04-06-2025 09:22:03"
"ZDPClassifier","04-06-2025 09:22:03"
"ZDPClassifier","04-06-2025 09:22:03"
"ZDPClassifier","04-06-2025 09:22:03"
"ZDPClassifier","04-06-2025 09:22:03"
"ZSATray","04-06-2025 09:22:00"
